date,region,period,total_streams_millions,commute_share,home_share
2019-06-01,north_america,pre_lockdown,99.67,0.50794,0.49206
2019-06-02,north_america,pre_lockdown,98.46,0.51516,0.48484
2019-06-03,north_america,pre_lockdown,100.24,0.56652,0.43348
2019-06-04,north_america,pre_lockdown,100.47,0.57897,0.42103
2019-06-05,north_america,pre_lockdown,101.81,0.5731,0.4269
2019-06-06,north_america,pre_lockdown,100.46,0.56704,0.43296
2019-06-07,north_america,pre_lockdown,100.08,0.57636,0.42364
2019-06-08,north_america,pre_lockdown,102.47,0.50123,0.49877
2019-06-09,north_america,pre_lockdown,102.05,0.53263,0.46737
2019-06-10,north_america,pre_lockdown,101.45,0.62028,0.37972
2019-06-11,north_america,pre_lockdown,101.42,0.57648,0.42352
2019-06-12,north_america,pre_lockdown,103.5,0.5829,0.4171
2019-06-13,north_america,pre_lockdown,98.67,0.55789,0.44211
2019-06-14,north_america,pre_lockdown,103.46,0.54456,0.45544
2019-06-15,north_america,pre_lockdown,104.25,0.53495,0.46505
2019-06-16,north_america,pre_lockdown,101.49,0.52055,0.47945
2019-06-17,north_america,pre_lockdown,100.26,0.57307,0.42693
2019-06-18,north_america,pre_lockdown,103.32,0.5876,0.4124
2019-06-19,north_america,pre_lockdown,101.59,0.54896,0.45104
2019-06-20,north_america,pre_lockdown,102.47,0.56402,0.43598
2019-06-21,north_america,pre_lockdown,103.42,0.56852,0.43148
2019-06-22,north_america,pre_lockdown,98.94,0.47305,0.52695
2019-06-23,north_america,pre_lockdown,98.91,0.50971,0.49029
2019-06-24,north_america,pre_lockdown,101.15,0.58571,0.41429
2019-06-25,north_america,pre_lockdown,100.77,0.57156,0.42844
2019-06-26,north_america,pre_lockdown,98.79,0.56801,0.43199
2019-06-27,north_america,pre_lockdown,102.83,0.60072,0.39928
2019-06-28,north_america,pre_lockdown,103.3,0.57861,0.42139
2019-06-29,north_america,pre_lockdown,99.84,0.51356,0.48644
2019-06-30,north_america,pre_lockdown,101.41,0.53934,0.46066
2019-07-01,north_america,pre_lockdown,99.19,0.56097,0.43903
2019-07-02,north_america,pre_lockdown,103.96,0.56915,0.43085
2019-07-03,north_america,pre_lockdown,104.44,0.60813,0.39187
2019-07-04,north_america,pre_lockdown,101.59,0.60331,0.39669
2019-07-05,north_america,pre_lockdown,99.64,0.5619,0.4381
2019-07-06,north_america,pre_lockdown,102.61,0.50603,0.49397
2019-07-07,north_america,pre_lockdown,100.24,0.49883,0.50117
2019-07-08,north_america,pre_lockdown,104.3,0.59022,0.40978
2019-07-09,north_america,pre_lockdown,102.27,0.5849,0.4151
2019-07-10,north_america,pre_lockdown,105.89,0.57462,0.42538
2019-07-11,north_america,pre_lockdown,101.57,0.59083,0.40917
2019-07-12,north_america,pre_lockdown,106.61,0.57124,0.42876
2019-07-13,north_america,pre_lockdown,99.41,0.50531,0.49469
2019-07-14,north_america,pre_lockdown,97.18,0.52355,0.47645
2019-07-15,north_america,pre_lockdown,100.12,0.56442,0.43558
2019-07-16,north_america,pre_lockdown,102.95,0.55038,0.44962
2019-07-17,north_america,pre_lockdown,101.51,0.59077,0.40923
2019-07-18,north_america,pre_lockdown,100.73,0.57045,0.42955
2019-07-19,north_america,pre_lockdown,103.37,0.55919,0.44081
2019-07-20,north_america,pre_lockdown,102.79,0.50039,0.49961
2019-07-21,north_america,pre_lockdown,104.38,0.49931,0.50069
2019-07-22,north_america,pre_lockdown,107.7,0.55377,0.44623
2019-07-23,north_america,pre_lockdown,106.47,0.56906,0.43094
2019-07-24,north_america,pre_lockdown,105.04,0.57679,0.42321
2019-07-25,north_america,pre_lockdown,101.59,0.56851,0.43149
2019-07-26,north_america,pre_lockdown,102.39,0.55643,0.44357
2019-07-27,north_america,pre_lockdown,101.87,0.50357,0.49643
2019-07-28,north_america,pre_lockdown,103.04,0.51682,0.48318
2019-07-29,north_america,pre_lockdown,101.61,0.59944,0.40056
2019-07-30,north_america,pre_lockdown,102.96,0.56432,0.43568
2019-07-31,north_america,pre_lockdown,108.43,0.56955,0.43045
2019-08-01,north_america,pre_lockdown,104.45,0.59814,0.40186
2019-08-02,north_america,pre_lockdown,101.19,0.58677,0.41323
2019-08-03,north_america,pre_lockdown,102.39,0.46931,0.53069
2019-08-04,north_america,pre_lockdown,104.59,0.51625,0.48375
2019-08-05,north_america,pre_lockdown,107.29,0.56997,0.43003
2019-08-06,north_america,pre_lockdown,103.14,0.56827,0.43173
2019-08-07,north_america,pre_lockdown,103.51,0.58185,0.41815
2019-08-08,north_america,pre_lockdown,99.97,0.58667,0.41333
2019-08-09,north_america,pre_lockdown,104.48,0.58012,0.41988
2019-08-10,north_america,pre_lockdown,105.25,0.52626,0.47374
2019-08-11,north_america,pre_lockdown,102.31,0.52978,0.47022
2019-08-12,north_america,pre_lockdown,104.5,0.54412,0.45588
2019-08-13,north_america,pre_lockdown,102.6,0.54975,0.45025
2019-08-14,north_america,pre_lockdown,102.78,0.57177,0.42823
2019-08-15,north_america,pre_lockdown,106.4,0.56667,0.43333
2019-08-16,north_america,pre_lockdown,102.02,0.53366,0.46634
2019-08-17,north_america,pre_lockdown,105.35,0.51442,0.48558
2019-08-18,north_america,pre_lockdown,103.29,0.51781,0.48219
2019-08-19,north_america,pre_lockdown,104.41,0.56379,0.43621
2019-08-20,north_america,pre_lockdown,101.51,0.55359,0.44641
2019-08-21,north_america,pre_lockdown,102.16,0.58559,0.41441
2019-08-22,north_america,pre_lockdown,103.04,0.56103,0.43897
2019-08-23,north_america,pre_lockdown,103.15,0.60434,0.39566
2019-08-24,north_america,pre_lockdown,107.7,0.52238,0.47762
2019-08-25,north_america,pre_lockdown,104.61,0.52645,0.47355
2019-08-26,north_america,pre_lockdown,105.03,0.59735,0.40265
2019-08-27,north_america,pre_lockdown,106.76,0.59233,0.40767
2019-08-28,north_america,pre_lockdown,103.69,0.58674,0.41326
2019-08-29,north_america,pre_lockdown,103.82,0.55621,0.44379
2019-08-30,north_america,pre_lockdown,105.61,0.55612,0.44388
2019-08-31,north_america,pre_lockdown,107.67,0.52096,0.47904
2019-09-01,north_america,pre_lockdown,104.99,0.54017,0.45983
2019-09-02,north_america,pre_lockdown,105.03,0.55214,0.44786
2019-09-03,north_america,pre_lockdown,106.27,0.55624,0.44376
2019-09-04,north_america,pre_lockdown,104.99,0.56392,0.43608
2019-09-05,north_america,pre_lockdown,103.71,0.58525,0.41475
2019-09-06,north_america,pre_lockdown,106.03,0.56519,0.43481
2019-09-07,north_america,pre_lockdown,105.98,0.51128,0.48872
2019-09-08,north_america,pre_lockdown,104.52,0.52903,0.47097
2019-09-09,north_america,pre_lockdown,107.98,0.57535,0.42465
2019-09-10,north_america,pre_lockdown,107.44,0.57189,0.42811
2019-09-11,north_america,pre_lockdown,107.18,0.56741,0.43259
2019-09-12,north_america,pre_lockdown,103.32,0.56901,0.43099
2019-09-13,north_america,pre_lockdown,105.5,0.56961,0.43039
2019-09-14,north_america,pre_lockdown,105.21,0.52585,0.47415
2019-09-15,north_america,pre_lockdown,106.84,0.50419,0.49581
2019-09-16,north_america,pre_lockdown,106.59,0.59308,0.40692
2019-09-17,north_america,pre_lockdown,102.66,0.55446,0.44554
2019-09-18,north_america,pre_lockdown,104.19,0.59925,0.40075
2019-09-19,north_america,pre_lockdown,104.41,0.5837,0.4163
2019-09-20,north_america,pre_lockdown,103.05,0.56402,0.43598
2019-09-21,north_america,pre_lockdown,107.03,0.54926,0.45074
2019-09-22,north_america,pre_lockdown,107.57,0.50085,0.49915
2019-09-23,north_america,pre_lockdown,105.37,0.61104,0.38896
2019-09-24,north_america,pre_lockdown,107.16,0.55641,0.44359
2019-09-25,north_america,pre_lockdown,102.51,0.57745,0.42255
2019-09-26,north_america,pre_lockdown,104.68,0.57251,0.42749
2019-09-27,north_america,pre_lockdown,108.69,0.57209,0.42791
2019-09-28,north_america,pre_lockdown,106.21,0.50922,0.49078
2019-09-29,north_america,pre_lockdown,105.44,0.52038,0.47962
2019-09-30,north_america,pre_lockdown,106.25,0.57658,0.42342
2019-10-01,north_america,pre_lockdown,106.67,0.57607,0.42393
2019-10-02,north_america,pre_lockdown,107.3,0.57079,0.42921
2019-10-03,north_america,pre_lockdown,107.61,0.57791,0.42209
2019-10-04,north_america,pre_lockdown,104.85,0.58725,0.41275
2019-10-05,north_america,pre_lockdown,104.12,0.51049,0.48951
2019-10-06,north_america,pre_lockdown,106.55,0.50495,0.49505
2019-10-07,north_america,pre_lockdown,107.44,0.57953,0.42047
2019-10-08,north_america,pre_lockdown,105.67,0.57092,0.42908
2019-10-09,north_america,pre_lockdown,106.07,0.56873,0.43127
2019-10-10,north_america,pre_lockdown,110.24,0.56085,0.43915
2019-10-11,north_america,pre_lockdown,107.18,0.56295,0.43705
2019-10-12,north_america,pre_lockdown,106.51,0.52434,0.47566
2019-10-13,north_america,pre_lockdown,104.84,0.48684,0.51316
2019-10-14,north_america,pre_lockdown,107.75,0.57778,0.42222
2019-10-15,north_america,pre_lockdown,106.45,0.59161,0.40839
2019-10-16,north_america,pre_lockdown,107.98,0.58275,0.41725
2019-10-17,north_america,pre_lockdown,108.31,0.54093,0.45907
2019-10-18,north_america,pre_lockdown,109.59,0.55313,0.44687
2019-10-19,north_america,pre_lockdown,103.52,0.51509,0.48491
2019-10-20,north_america,pre_lockdown,108.59,0.50517,0.49483
2019-10-21,north_america,pre_lockdown,106.64,0.58611,0.41389
2019-10-22,north_america,pre_lockdown,105.37,0.55688,0.44312
2019-10-23,north_america,pre_lockdown,105.13,0.57433,0.42567
2019-10-24,north_america,pre_lockdown,103.07,0.57319,0.42681
2019-10-25,north_america,pre_lockdown,104.91,0.58837,0.41163
2019-10-26,north_america,pre_lockdown,106.87,0.55318,0.44682
2019-10-27,north_america,pre_lockdown,107.83,0.53022,0.46978
2019-10-28,north_america,pre_lockdown,108.64,0.56644,0.43356
2019-10-29,north_america,pre_lockdown,111.38,0.57602,0.42398
2019-10-30,north_america,pre_lockdown,107.11,0.56672,0.43328
2019-10-31,north_america,pre_lockdown,105.83,0.59716,0.40284
2019-11-01,north_america,pre_lockdown,104.56,0.57063,0.42937
2019-11-02,north_america,pre_lockdown,104.24,0.49147,0.50853
2019-11-03,north_america,pre_lockdown,110.52,0.49875,0.50125
